GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Population of one race:,Margin of Error; Population of one race:,Estimate; Population of one race: - White,Margin of Error; Population of one race: - White,Estimate; Population of one race: - Black or African American,Margin of Error; Population of one race: - Black or African American,Estimate; Population of one race: - American Indian and Alaska Native,Margin of Error; Population of one race: - American Indian and Alaska Native,Estimate; Population of one race: - Asian alone,Margin of Error; Population of one race: - Asian alone,Estimate; Population of one race: - Native Hawaiian and Other Pacific Islander,Margin of Error; Population of one race: - Native Hawaiian and Other Pacific Islander,Estimate; Population of one race: - Some other race,Margin of Error; Population of one race: - Some other race,Estimate; Population of two or more races:,Margin of Error; Population of two or more races:,Estimate; Population of two or more races: - Two races including Some other race,Margin of Error; Population of two or more races: - Two races including Some other race,"Estimate; Population of two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Population of two or more races: - Two races excluding Some other race, and three or more races",Estimate; Population of two or more races: - Population of two races:,Margin of Error; Population of two or more races: - Population of two races:,Estimate; Population of two or more races: - Population of two races: - White; Black or African American,Margin of Error; Population of two or more races: - Population of two races: - White; Black or African American,Estimate; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - White; Asian,Margin of Error; Population of two or more races: - Population of two races: - White; Asian,Estimate; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - All other two race combinations,Margin of Error; Population of two or more races: - Population of two races: - All other two race combinations,Estimate; Population of three races,Margin of Error; Population of three races,Estimate; Population of four or more races,Margin of Error; Population of four or more races
1400000US06075010100,06075010100,"Census Tract 101, San Francisco County, California",3851,272,3587,329,1686,259,346,255,11,19,1507,226,0,95,37,36,264,240,0,95,264,240,256,241,14,24,52,56,38,46,0,95,152,245,8,13,0,95
1400000US06075010200,06075010200,"Census Tract 102, San Francisco County, California",4128,317,3924,344,3436,322,44,51,0,95,382,88,0,95,62,81,204,140,94,78,110,110,188,138,0,95,72,99,22,35,0,95,94,78,16,25,0,95
1400000US06075010300,06075010300,"Census Tract 103, San Francisco County, California",4254,434,4235,440,2710,351,82,120,0,95,1443,290,0,95,0,95,19,33,0,95,19,33,19,33,0,95,19,33,0,95,0,95,0,95,0,95,0,95
1400000US06075010400,06075010400,"Census Tract 104, San Francisco County, California",4531,481,4429,452,3092,303,1,2,0,95,1210,359,0,95,126,102,102,83,0,95,102,83,102,83,0,95,35,41,58,77,0,95,9,15,0,95,0,95
1400000US06075010500,06075010500,"Census Tract 105, San Francisco County, California",2495,243,2364,233,1741,207,19,22,0,95,557,123,0,95,47,70,131,67,0,95,131,67,131,67,20,22,37,42,46,38,0,95,28,31,0,95,0,95
1400000US06075010600,06075010600,"Census Tract 106, San Francisco County, California",3963,528,3760,513,1183,151,53,61,0,95,2474,503,0,95,50,47,203,198,141,186,62,67,203,198,50,64,12,19,0,95,0,95,141,186,0,95,0,95
1400000US06075010700,06075010700,"Census Tract 107, San Francisco County, California",5752,633,5723,636,990,294,210,249,10,18,4473,629,0,95,40,49,29,48,29,48,0,95,29,48,0,95,0,95,0,95,0,95,29,48,0,95,0,95
1400000US06075010800,06075010800,"Census Tract 108, San Francisco County, California",4819,369,4691,370,2322,329,70,81,17,21,2260,264,0,95,22,35,128,96,0,95,128,96,74,61,18,28,23,37,17,29,16,27,0,95,54,86,0,95
1400000US06075010900,06075010900,"Census Tract 109, San Francisco County, California",4564,361,4458,377,3142,336,48,45,101,129,1105,254,0,95,62,48,106,57,0,95,106,57,106,57,51,47,15,24,32,31,0,95,8,14,0,95,0,95
