"","C.Block","number.races","race","percent.pop"
"1","060750101001","1","White",0.418367346938776
"2","060750101002","1","White",0.564805057955743
"3","060750102001","1","White",0.858070500927644
"4","060750102002","1","White",0.897362110311751
"5","060750102003","1","White",0.788079470198676
"6","060750103001","1","White",0.565940366972477
"7","060750103002","1","White",0.511455525606469
"8","060750103003","1","White",0.814847942754919
"9","060750104001","1","White",0.597597597597598
"10","060750104002","1","White",0.563424124513619
"11","060750104003","1","White",0.755747126436782
"12","060750104004","1","White",0.414182111200645
"13","060750105001","1","White",0.594951923076923
"14","060750105002","1","White",0.652198421645998
"15","060750106001","1","White",0.479452054794521
"16","060750106002","1","White",0.305349182763744
"17","060750106003","1","White",0.202932098765432
"18","060750107001","1","White",0.536689419795222
"19","060750107002","1","White",0.252062328139322
"20","060750107003","1","White",0.103229221810482
"21","060750107004","1","White",0.0457290767903365
"22","060750108001","1","White",0.579646017699115
"23","060750108002","1","White",0.337704918032787
"24","060750108003","1","White",0.503295668549906
"25","060750109001","1","White",0.796178343949045
"26","060750109002","1","White",0.525689561925365
"27","060750109003","1","White",0.798358132375577
"28","060750110001","1","White",0.624500665778961
"29","060750110002","1","White",0.457273864110046
"30","060750110003","1","White",0.47282861124013
"31","060750111001","1","White",0.433636799233349
"32","060750111002","1","White",0.610948191593353
"33","060750111003","1","White",0.82962962962963
"34","060750112001","1","White",0.495495495495495
"35","060750112002","1","White",0.687162891046386
"36","060750112003","1","White",0.474969474969475
"37","060750113001","1","White",0.171853856562923
"38","060750113002","1","White",0.225949367088608
"39","060750117001","1","White",0.383720930232558
"40","060750117002","1","White",0.325925925925926
"41","060750118001","1","White",0.0747126436781609
"42","060750119011","1","White",0.634050880626223
"43","060750119012","1","White",0.499013806706114
"44","060750119021","1","White",0.554054054054054
"45","060750119022","1","White",0.56490727532097
"46","060750120001","1","White",0.512094395280236
"47","060750120002","1","White",0.516595289079229
"48","060750121001","1","White",0.646648044692737
"49","060750121002","1","White",0.508893280632411
"50","060750122011","1","White",0.390763765541741
"51","060750122012","1","White",0.331061896649631
"52","060750122021","1","White",0.445274439753167
"53","060750123011","1","White",0.46458141674333
"54","060750123012","1","White",0.312944523470839
"55","060750123021","1","White",0.546831955922865
"56","060750123022","1","White",0.301125703564728
"57","060750124011","1","White",0.320766008378217
"58","060750124012","1","White",0.535010197144799
"59","060750124021","1","White",0.419354838709677
"60","060750124022","1","White",0.584944048830112
"61","060750124023","1","White",0.388355342136855
"62","060750125011","1","White",0.225959465286762
"63","060750125012","1","White",0.488599348534202
"64","060750125021","1","White",0.318675352877307
"65","060750125022","1","White",0.18305531167691
"66","060750126011","1","White",0.869147659063625
"67","060750126021","1","White",0.87593423019432
"68","060750126022","1","White",0.861974405850091
"69","060750127001","1","White",0.806366047745358
"70","060750127002","1","White",0.873215785054576
"71","060750127003","1","White",0.879765395894428
"72","060750128001","1","White",0.842863574966231
"73","060750128002","1","White",0.93450184501845
"74","060750128003","1","White",0.695605573419078
"75","060750128004","1","White",0.685074626865672
"76","060750129011","1","White",0.877034358047016
"77","060750129012","1","White",0.740890688259109
"78","060750129021","1","White",0.797570850202429
"79","060750129022","1","White",0.787044534412956
"80","060750129023","1","White",0.797741273100616
"81","060750130001","1","White",0.777114427860697
"82","060750130002","1","White",0.849955076370171
"83","060750130003","1","White",0.851531814611155
"84","060750130004","1","White",0.941227312013829
"85","060750131011","1","White",0.825378346915017
"86","060750131012","1","White",0.66763145200193
"87","060750131021","1","White",0.911371237458194
"88","060750131022","1","White",0.908422459893048
"89","060750132001","1","White",0.751902587519026
"90","060750132002","1","White",0.926594464500602
"91","060750132003","1","White",0.864764923402007
"92","060750133001","1","White",0.941463414634146
"93","060750133002","1","White",0.691840277777778
"94","060750133003","1","White",0.744296577946768
"95","060750133004","1","White",0.858197932053176
"96","060750133005","1","White",0.759282970550576
"97","060750134001","1","White",0.889526542324247
"98","060750134002","1","White",0.84207650273224
"99","060750134003","1","White",0.867453157529493
"100","060750135001","1","White",0.890612878200155
"101","060750135002","1","White",0.71527244819647
"102","060750151001","1","White",0.662704309063893
"103","060750151002","1","White",0.6
"104","060750152001","1","White",0.567259786476868
"105","060750152002","1","White",0.801816680429397
"106","060750152003","1","White",0.730184147317854
"107","060750153001","1","White",0.757928118393235
"108","060750153002","1","White",0.64375
"109","060750154001","1","White",0.409145607701564
"110","060750154002","1","White",0.591642228739003
"111","060750154003","1","White",0.659146341463415
"112","060750154004","1","White",0.766619519094767
"113","060750154005","1","White",0.737906137184116
"114","060750155001","1","White",0.650982727814175
"115","060750155002","1","White",0.447538860103627
"116","060750155003","1","White",0.680575539568345
"117","060750156001","1","White",0.469055374592834
"118","060750156002","1","White",0.637337413925019
"119","060750156003","1","White",0.527422303473492
"120","060750157001","1","White",0.406698564593301
"121","060750157002","1","White",0.740182648401826
"122","060750157003","1","White",0.558014354066986
"123","060750157004","1","White",0.561866748541603
"124","060750158011","1","White",0.271604938271605
"125","060750158012","1","White",0.442510548523207
"126","060750158013","1","White",0.575098814229249
"127","060750158021","1","White",0.667534157449577
"128","060750158022","1","White",0.733846153846154
"129","060750159001","1","White",0.479659413434248
"130","060750159002","1","White",0.335536349771225
"131","060750160001","1","White",0.547021943573668
"132","060750161001","1","White",0.0441001191895113
"133","060750161002","1","White",0.415325670498084
"134","060750161003","1","White",0.190291262135922
"135","060750161004","1","White",0.346415489272632
"136","060750162001","1","White",0.711627906976744
"137","060750162002","1","White",0.462055715658021
"138","060750162003","1","White",0.821350762527233
"139","060750163001","1","White",0.217076700434153
"140","060750163002","1","White",0.454022988505747
"141","060750163003","1","White",0.648820007044734
"142","060750164001","1","White",0.766454352441614
"143","060750164002","1","White",0.665730337078652
"144","060750165001","1","White",0.477715877437326
"145","060750165002","1","White",0.743550834597876
"146","060750165003","1","White",0.659911894273128
"147","060750165004","1","White",0.889830508474576
"148","060750166001","1","White",0.708508403361345
"149","060750166002","1","White",0.705461056401074
"150","060750166003","1","White",0.793328498912255
"151","060750166004","1","White",0.827616534740545
"152","060750167001","1","White",0.886520737327189
"153","060750167002","1","White",0.84412955465587
"154","060750167003","1","White",0.8
