"","Neighborhood","Total.Pop","Med.Income","Med.Age","Med.Age.M","Med.Age.F"
"1","Alamo Square",NA,NA,NA,NA,NA
"2","Anza Vista",NA,NA,NA,NA,NA
"3","Apparel City",NA,NA,NA,NA,NA
"4","Aquatic Park / Ft. Mason",NA,NA,NA,NA,NA
"5","Ashbury Heights",NA,NA,NA,NA,NA
"6","Balboa Terrace",NA,NA,NA,NA,NA
"7","Bayview",NA,NA,NA,NA,NA
"8","Bernal Heights",NA,NA,NA,NA,NA
"9","Bret Harte",NA,NA,NA,NA,NA
"10","Buena Vista",NA,NA,NA,NA,NA
"11","Candlestick Point SRA",NA,NA,NA,NA,NA
"12","Castro",NA,NA,NA,NA,NA
"13","Castro/Upper Market",NA,NA,NA,NA,NA
"14","Cathedral Hill",NA,NA,NA,NA,NA
"15","Cayuga",NA,NA,NA,NA,NA
"16","Central Waterfront",NA,NA,NA,NA,NA
"17","Chinatown",NA,NA,NA,NA,NA
"18","Civic Center",NA,NA,NA,NA,NA
"19","Clarendon Heights",NA,NA,NA,NA,NA
"20","Cole Valley",NA,NA,NA,NA,NA
"21","Corona Heights",NA,NA,NA,NA,NA
"22","Cow Hollow",NA,NA,NA,NA,NA
"23","Crocker Amazon",NA,NA,NA,NA,NA
"24","Diamond Heights",NA,NA,NA,NA,NA
"25","Dogpatch",NA,NA,NA,NA,NA
"26","Dolores Heights",NA,NA,NA,NA,NA
"27","Downtown / Union Square",NA,NA,NA,NA,NA
"28","Downtown/Civic Center",NA,NA,NA,NA,NA
"29","Duboce Triangle",NA,NA,NA,NA,NA
"30","Eureka Valley",NA,NA,NA,NA,NA
"31","Excelsior",NA,NA,NA,NA,NA
"32","Fairmount",NA,NA,NA,NA,NA
"33","Financial District",NA,NA,NA,NA,NA
"34","Fisherman's Wharf",NA,NA,NA,NA,NA
"35","Forest Hill",NA,NA,NA,NA,NA
"36","Forest Knolls",NA,NA,NA,NA,NA
"37","Glen Park",NA,NA,NA,NA,NA
"38","Golden Gate Heights",NA,NA,NA,NA,NA
"39","Golden Gate Park",NA,NA,NA,NA,NA
"40","Haight Ashbury",NA,NA,NA,NA,NA
"41","Hayes Valley",NA,NA,NA,NA,NA
"42","Holly Park",NA,NA,NA,NA,NA
"43","Hunters Point",NA,NA,NA,NA,NA
"44","India Basin",NA,NA,NA,NA,NA
"45","Ingleside",NA,NA,NA,NA,NA
"46","Ingleside Terraces",NA,NA,NA,NA,NA
"47","Inner Richmond",NA,NA,NA,NA,NA
"48","Inner Sunset",NA,NA,NA,NA,NA
"49","Japantown",NA,NA,NA,NA,NA
"50","Laguna Honda",NA,NA,NA,NA,NA
"51","Lake Street",NA,NA,NA,NA,NA
"52","Lakeshore",NA,NA,NA,NA,NA
"53","Laurel Heights / Jordan Park",NA,NA,NA,NA,NA
"54","Little Hollywood",NA,NA,NA,NA,NA
"55","Lone Mountain",NA,NA,NA,NA,NA
"56","Lower Haight",NA,NA,NA,NA,NA
"57","Lower Nob Hill",NA,NA,NA,NA,NA
"58","Lower Pacific Heights",NA,NA,NA,NA,NA
"59","Marina",NA,NA,NA,NA,NA
"60","McLaren Park",NA,NA,NA,NA,NA
"61","Merced Heights",NA,NA,NA,NA,NA
"62","Merced Manor",NA,NA,NA,NA,NA
"63","Midtown Terrace",NA,NA,NA,NA,NA
"64","Mint Hill",NA,NA,NA,NA,NA
"65","Miraloma Park",NA,NA,NA,NA,NA
"66","Mission",NA,NA,NA,NA,NA
"67","Mission Bay",NA,NA,NA,NA,NA
"68","Mission Dolores",NA,NA,NA,NA,NA
"69","Mission Terrace",NA,NA,NA,NA,NA
"70","Monterey Heights",NA,NA,NA,NA,NA
"71","Nob Hill",NA,NA,NA,NA,NA
"72","Noe Valley",NA,NA,NA,NA,NA
"73","North Beach",NA,NA,NA,NA,NA
"74","Northern Waterfront",NA,NA,NA,NA,NA
"75","Ocean View",NA,NA,NA,NA,NA
"76","Oceanview",NA,NA,NA,NA,NA
"77","Outer Mission",NA,NA,NA,NA,NA
"78","Outer Richmond",NA,NA,NA,NA,NA
"79","Outer Sunset",NA,NA,NA,NA,NA
"80","Pacific Heights",NA,NA,NA,NA,NA
"81","Panhandle",NA,NA,NA,NA,NA
"82","Parkmerced",NA,NA,NA,NA,NA
"83","Parkside",NA,NA,NA,NA,NA
"84","Parnassus Heights",NA,NA,NA,NA,NA
"85","Peralta Heights",NA,NA,NA,NA,NA
"86","Polk Gulch",NA,NA,NA,NA,NA
"87","Portola",NA,NA,NA,NA,NA
"88","Potrero Hill",NA,NA,NA,NA,NA
"89","Presidio",NA,NA,NA,NA,NA
"90","Presidio Heights",NA,NA,NA,NA,NA
"91","Presidio National Park",NA,NA,NA,NA,NA
"92","Presidio Terrace",NA,NA,NA,NA,NA
"93","Produce Market",NA,NA,NA,NA,NA
"94","Rincon Hill",NA,NA,NA,NA,NA
"95","Russian Hill",NA,NA,NA,NA,NA
"96","Seacliff",NA,NA,NA,NA,NA
"97","Sherwood Forest",NA,NA,NA,NA,NA
"98","Showplace Square",NA,NA,NA,NA,NA
"99","Silver Terrace",NA,NA,NA,NA,NA
"100","South Beach",NA,NA,NA,NA,NA
"101","South of Market",NA,NA,NA,NA,NA
"102","St. Mary's Park",NA,NA,NA,NA,NA
"103","Stonestown",NA,NA,NA,NA,NA
"104","Sunnydale",NA,NA,NA,NA,NA
"105","Sunnyside",NA,NA,NA,NA,NA
"106","Sutro Heights",NA,NA,NA,NA,NA
"107","Telegraph Hill",NA,NA,NA,NA,NA
"108","Tenderloin",NA,NA,NA,NA,NA
"109","Treasure Island",NA,NA,NA,NA,NA
"110","Twin Peaks",NA,NA,NA,NA,NA
"111","Union Street",NA,NA,NA,NA,NA
"112","University Mound",NA,NA,NA,NA,NA
"113","Upper Market",NA,NA,NA,NA,NA
"114","Visitacion Valley",NA,NA,NA,NA,NA
"115","West of Twin Peaks",NA,NA,NA,NA,NA
"116","West Portal",NA,NA,NA,NA,NA
"117","Western Addition",NA,NA,NA,NA,NA
"118","Westwood Highlands",NA,NA,NA,NA,NA
"119","Westwood Park",NA,NA,NA,NA,NA
