GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",33.6,1.8,33.3,3.2,33.8,2.8
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",40.9,4.6,33.6,8.9,56.8,11.6
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",47.3,4.0,47.7,2.7,43.2,14.1
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",34.8,3.3,32.7,1.2,36.7,7.1
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",46.9,6.4,46.7,6.9,49.4,16.3
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",46.1,7.2,46.2,16.0,46.1,12.2
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",28.0,9.1,34.1,12.3,24.8,7.5
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",39.2,16.5,35.3,14.3,49.3,10.9
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",30.7,27.2,30.3,20.0,49.7,7.1
1500000US060750104002,060750104002,"Block Group 2, Census Tract 104, San Francisco County, California",44.7,12.9,44.7,9.2,44.3,27.6
1500000US060750104003,060750104003,"Block Group 3, Census Tract 104, San Francisco County, California",41.2,2.5,39.6,8.9,43.7,12.9
1500000US060750104004,060750104004,"Block Group 4, Census Tract 104, San Francisco County, California",34.0,11.5,40.9,3.7,29.4,1.9
1500000US060750105001,060750105001,"Block Group 1, Census Tract 105, San Francisco County, California",44.4,6.4,46.3,11.3,44.1,6.1
1500000US060750105002,060750105002,"Block Group 2, Census Tract 105, San Francisco County, California",45.6,7.1,39.4,7.2,50.0,7.1
1500000US060750106001,060750106001,"Block Group 1, Census Tract 106, San Francisco County, California",44.0,8.9,37.0,16.0,46.8,8.2
1500000US060750106002,060750106002,"Block Group 2, Census Tract 106, San Francisco County, California",40.6,11.3,38.9,14.0,40.8,16.2
1500000US060750106003,060750106003,"Block Group 3, Census Tract 106, San Francisco County, California",40.5,5.5,36.6,6.1,42.5,5.5
1500000US060750107001,060750107001,"Block Group 1, Census Tract 107, San Francisco County, California",34.9,7.9,31.0,5.2,37.9,16.0
1500000US060750107002,060750107002,"Block Group 2, Census Tract 107, San Francisco County, California",53.0,9.1,48.9,8.2,54.8,13.6
1500000US060750107003,060750107003,"Block Group 3, Census Tract 107, San Francisco County, California",49.6,6.4,49.1,18.3,53.6,6.9
1500000US060750107004,060750107004,"Block Group 4, Census Tract 107, San Francisco County, California",57.9,6.2,64.1,10.9,55.8,4.5
1500000US060750108001,060750108001,"Block Group 1, Census Tract 108, San Francisco County, California",45.3,6.2,44.4,14.5,54.1,11.6
1500000US060750108002,060750108002,"Block Group 2, Census Tract 108, San Francisco County, California",44.8,4.5,45.3,5.1,44.6,12.0
1500000US060750108003,060750108003,"Block Group 3, Census Tract 108, San Francisco County, California",38.5,6.8,39.6,7.0,34.9,10.6
