GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Population of one race:,Margin of Error; Population of one race:,Estimate; Population of one race: - White,Margin of Error; Population of one race: - White,Estimate; Population of one race: - Black or African American,Margin of Error; Population of one race: - Black or African American,Estimate; Population of one race: - American Indian and Alaska Native,Margin of Error; Population of one race: - American Indian and Alaska Native,Estimate; Population of one race: - Asian alone,Margin of Error; Population of one race: - Asian alone,Estimate; Population of one race: - Native Hawaiian and Other Pacific Islander,Margin of Error; Population of one race: - Native Hawaiian and Other Pacific Islander,Estimate; Population of one race: - Some other race,Margin of Error; Population of one race: - Some other race,Estimate; Population of two or more races:,Margin of Error; Population of two or more races:,Estimate; Population of two or more races: - Two races including Some other race,Margin of Error; Population of two or more races: - Two races including Some other race,"Estimate; Population of two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Population of two or more races: - Two races excluding Some other race, and three or more races",Estimate; Population of two or more races: - Population of two races:,Margin of Error; Population of two or more races: - Population of two races:,Estimate; Population of two or more races: - Population of two races: - White; Black or African American,Margin of Error; Population of two or more races: - Population of two races: - White; Black or African American,Estimate; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - White; Asian,Margin of Error; Population of two or more races: - Population of two races: - White; Asian,Estimate; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - All other two race combinations,Margin of Error; Population of two or more races: - Population of two races: - All other two race combinations,Estimate; Population of two or more races: - Population of three races,Margin of Error; Population of two or more races: - Population of three races,Estimate; Population of two or more races: - Population of four or more races,Margin of Error; Population of two or more races: - Population of four or more races
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",980,343,958,341,410,161,0,12,0,12,535,302,0,12,13,21,22,40,0,12,22,40,22,40,0,12,22,40,0,12,0,12,0,12,0,12,0,12
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",2847,297,2604,292,1608,253,67,56,15,23,868,224,0,12,46,55,243,183,72,82,171,158,243,183,0,12,32,52,42,52,0,12,169,171,0,12,0,12
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",1078,276,1033,264,925,251,0,12,0,12,93,84,0,12,15,25,45,67,0,12,45,67,45,67,0,12,41,65,4,10,0,12,0,12,0,12,0,12
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",2085,335,2029,327,1871,326,0,12,0,12,158,92,0,12,0,12,56,51,0,12,56,51,56,51,0,12,17,28,39,43,0,12,0,12,0,12,0,12
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",1057,237,962,239,833,202,21,34,0,12,108,92,0,12,0,12,95,71,26,41,69,57,80,67,14,23,40,47,0,12,0,12,26,41,15,25,0,12
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",1744,354,1734,355,987,222,0,12,0,12,673,314,0,12,74,88,10,14,0,12,10,14,10,14,0,12,10,14,0,12,0,12,0,12,0,12,0,12
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",1484,433,1467,439,759,323,0,12,0,12,708,300,0,12,0,12,17,27,0,12,17,27,17,27,0,12,0,12,17,27,0,12,0,12,0,12,0,12
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",1118,319,1087,322,911,309,0,12,0,12,176,132,0,12,0,12,31,33,0,12,31,33,31,33,0,12,14,22,17,26,0,12,0,12,0,12,0,12
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",999,401,899,383,597,392,0,12,0,12,242,194,0,12,60,76,100,85,0,12,100,85,100,85,13,26,0,12,87,79,0,12,0,12,0,12,0,12
1500000US060750104002,060750104002,"Block Group 2, Census Tract 104, San Francisco County, California",1285,415,1191,403,724,263,0,12,0,12,467,312,0,12,0,12,94,85,0,12,94,85,94,85,43,73,10,18,41,34,0,12,0,12,0,12,0,12
1500000US060750104003,060750104003,"Block Group 3, Census Tract 104, San Francisco County, California",1740,436,1653,399,1315,368,0,12,0,12,268,207,0,12,70,112,87,98,61,96,26,32,87,98,0,12,0,12,26,32,0,12,61,96,0,12,0,12
1500000US060750104004,060750104004,"Block Group 4, Census Tract 104, San Francisco County, California",1241,360,1123,366,514,210,0,12,0,12,534,320,0,12,75,99,118,126,118,126,0,12,118,126,0,12,0,12,0,12,0,12,118,126,0,12,0,12
1500000US060750105001,060750105001,"Block Group 1, Census Tract 105, San Francisco County, California",832,237,715,246,495,179,16,29,0,12,164,121,20,36,20,36,117,104,0,12,117,104,61,52,18,35,0,12,43,40,0,12,0,12,56,65,0,12
1500000US060750105002,060750105002,"Block Group 2, Census Tract 105, San Francisco County, California",1774,236,1685,237,1157,193,27,29,0,12,488,145,0,12,13,20,89,61,0,12,89,61,89,61,26,29,25,41,26,29,0,12,12,21,0,12,0,12
1500000US060750106001,060750106001,"Block Group 1, Census Tract 106, San Francisco County, California",1022,246,1005,244,490,141,0,12,0,12,507,192,0,12,8,13,17,19,0,12,17,19,17,19,8,13,9,14,0,12,0,12,0,12,0,12,0,12
1500000US060750106002,060750106002,"Block Group 2, Census Tract 106, San Francisco County, California",1346,411,1208,374,411,171,36,43,0,12,736,330,0,12,25,39,138,159,95,150,43,49,138,159,0,12,26,40,17,27,0,12,95,150,0,12,0,12
1500000US060750106003,060750106003,"Block Group 3, Census Tract 106, San Francisco County, California",1296,407,1264,414,263,122,0,12,0,12,980,397,0,12,21,32,32,50,32,50,0,12,32,50,0,12,0,12,0,12,0,12,32,50,0,12,0,12
1500000US060750107001,060750107001,"Block Group 1, Census Tract 107, San Francisco County, California",1172,248,1172,248,629,227,151,226,0,12,358,220,0,12,34,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750107002,060750107002,"Block Group 2, Census Tract 107, San Francisco County, California",1091,350,1067,321,275,166,0,12,0,12,792,350,0,12,0,12,24,40,24,40,0,12,24,40,0,12,0,12,0,12,0,12,24,40,0,12,0,12
1500000US060750107003,060750107003,"Block Group 3, Census Tract 107, San Francisco County, California",1889,435,1889,435,195,148,0,12,0,12,1694,417,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750107004,060750107004,"Block Group 4, Census Tract 107, San Francisco County, California",1159,336,1159,336,53,49,0,12,0,12,1106,344,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750108001,060750108001,"Block Group 1, Census Tract 108, San Francisco County, California",1130,325,1104,326,655,241,0,12,0,12,442,216,0,12,7,12,26,33,0,12,26,33,26,33,0,12,0,12,26,33,0,12,0,12,0,12,0,12
1500000US060750108002,060750108002,"Block Group 2, Census Tract 108, San Francisco County, California",1525,372,1502,375,515,212,0,12,0,12,987,300,0,12,0,12,23,30,0,12,23,30,23,30,0,12,0,12,23,30,0,12,0,12,0,12,0,12
1500000US060750108003,060750108003,"Block Group 3, Census Tract 108, San Francisco County, California",2124,506,2038,499,1069,242,0,12,9,14,857,397,0,12,103,117,86,92,0,12,86,92,86,92,0,12,10,18,59,90,17,28,0,12,0,12,0,12
1500000US060750109001,060750109001,"Block Group 1, Census Tract 109, San Francisco County, California",942,233,942,233,750,204,13,20,0,12,179,159,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750109002,060750109002,"Block Group 2, Census Tract 109, San Francisco County, California",1849,388,1838,385,972,210,31,42,0,12,790,294,0,12,45,74,11,20,0,12,11,20,11,20,0,12,0,12,11,20,0,12,0,12,0,12,0,12
1500000US060750109003,060750109003,"Block Group 3, Census Tract 109, San Francisco County, California",1949,289,1934,287,1556,260,16,25,0,12,334,138,0,12,28,35,15,26,0,12,15,26,15,26,0,12,15,26,0,12,0,12,0,12,0,12,0,12
1500000US060750110001,060750110001,"Block Group 1, Census Tract 110, San Francisco County, California",751,333,751,333,469,260,26,42,0,12,248,229,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750110002,060750110002,"Block Group 2, Census Tract 110, San Francisco County, California",2399,472,2261,468,1097,309,21,34,0,12,1042,292,0,12,101,139,138,143,0,12,138,143,138,143,41,50,0,12,97,139,0,12,0,12,0,12,0,12
1500000US060750110003,060750110003,"Block Group 3, Census Tract 110, San Francisco County, California",2153,522,2117,530,1018,299,23,38,0,12,1012,461,0,12,64,103,36,40,22,31,14,25,36,40,0,12,14,25,0,12,0,12,22,31,0,12,0,12
1500000US060750111001,060750111001,"Block Group 1, Census Tract 111, San Francisco County, California",2087,418,1871,394,905,241,22,29,0,12,896,315,0,12,48,76,216,208,121,177,95,104,158,183,0,12,0,12,37,46,0,12,121,177,58,92,0,12
