GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Population of one race:,Margin of Error; Population of one race:,Estimate; Population of one race: - White,Margin of Error; Population of one race: - White,Estimate; Population of one race: - Black or African American,Margin of Error; Population of one race: - Black or African American,Estimate; Population of one race: - American Indian and Alaska Native,Margin of Error; Population of one race: - American Indian and Alaska Native,Estimate; Population of one race: - Asian alone,Margin of Error; Population of one race: - Asian alone,Estimate; Population of one race: - Native Hawaiian and Other Pacific Islander,Margin of Error; Population of one race: - Native Hawaiian and Other Pacific Islander,Estimate; Population of one race: - Some other race,Margin of Error; Population of one race: - Some other race,Estimate; Population of two or more races:,Margin of Error; Population of two or more races:,Estimate; Population of two or more races: - Two races including Some other race,Margin of Error; Population of two or more races: - Two races including Some other race,"Estimate; Population of two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Population of two or more races: - Two races excluding Some other race, and three or more races",Estimate; Population of two or more races: - Population of two races:,Margin of Error; Population of two or more races: - Population of two races:,Estimate; Population of two or more races: - Population of two races: - White; Black or African American,Margin of Error; Population of two or more races: - Population of two races: - White; Black or African American,Estimate; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - White; Asian,Margin of Error; Population of two or more races: - Population of two races: - White; Asian,Estimate; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - All other two race combinations,Margin of Error; Population of two or more races: - Population of two races: - All other two race combinations,Estimate; Population of two or more races: - Population of three races,Margin of Error; Population of two or more races: - Population of three races,Estimate; Population of two or more races: - Population of four or more races,Margin of Error; Population of two or more races: - Population of four or more races
1400000US06075010100,06075010100,"Census Tract 101, San Francisco County, California",3827,365,3562,379,2018,278,67,56,15,23,1403,260,0,12,59,58,265,189,72,82,193,163,265,189,0,12,54,67,42,52,0,12,169,171,0,12,0,12
1400000US06075010200,06075010200,"Census Tract 102, San Francisco County, California",4220,385,4024,395,3629,360,21,34,0,12,359,137,0,12,15,25,196,109,26,41,170,99,181,112,14,23,98,85,43,44,0,12,26,41,15,25,0,12
1400000US06075010300,06075010300,"Census Tract 103, San Francisco County, California",4346,478,4288,478,2657,406,0,12,0,12,1557,365,0,12,74,88,58,42,0,12,58,42,58,42,0,12,24,27,34,37,0,12,0,12,0,12,0,12
1400000US06075010400,06075010400,"Census Tract 104, San Francisco County, California",5265,583,4866,581,3150,476,0,17,0,17,1511,424,0,17,205,167,399,202,179,152,220,139,399,202,56,79,10,18,154,95,0,17,179,152,0,17,0,17
1400000US06075010500,06075010500,"Census Tract 105, San Francisco County, California",2606,215,2400,256,1652,172,43,40,0,12,652,178,20,36,33,41,206,120,0,12,206,120,150,82,44,44,25,41,69,49,0,12,12,21,56,65,0,12
1400000US06075010600,06075010600,"Census Tract 106, San Francisco County, California",3664,433,3477,435,1164,213,36,43,0,12,2223,418,0,12,54,52,187,162,127,153,60,49,187,162,8,13,35,42,17,27,0,12,127,153,0,12,0,12
1400000US06075010700,06075010700,"Census Tract 107, San Francisco County, California",5311,449,5287,436,1152,217,151,226,0,17,3950,424,0,17,34,42,24,40,24,40,0,17,24,40,0,17,0,17,0,17,0,17,24,40,0,17,0,17
1400000US06075010800,06075010800,"Census Tract 108, San Francisco County, California",4779,427,4644,450,2239,297,0,12,9,14,2286,393,0,12,110,120,135,104,0,12,135,104,135,104,0,12,10,18,108,102,17,28,0,12,0,12,0,12
1400000US06075010900,06075010900,"Census Tract 109, San Francisco County, California",4740,295,4714,292,3278,280,60,49,0,12,1303,309,0,12,73,80,26,33,0,12,26,33,26,33,0,12,15,26,11,20,0,12,0,12,0,12,0,12
1400000US06075011000,06075011000,"Census Tract 110, San Francisco County, California",5303,557,5129,615,2584,305,70,77,0,17,2302,356,0,17,173,160,174,146,22,31,152,145,174,146,41,50,14,25,97,139,0,17,22,31,0,17,0,17
1400000US06075011100,06075011100,"Census Tract 111, San Francisco County, California",5078,414,4812,392,2939,469,171,156,0,17,1566,297,0,17,136,117,266,220,147,181,119,111,208,195,0,17,0,17,61,59,0,17,147,181,58,92,0,17
1400000US06075011200,06075011200,"Census Tract 112, San Francisco County, California",3078,310,2945,300,1686,315,41,47,1,2,1141,156,52,54,24,29,133,74,55,58,78,63,132,74,0,12,11,19,66,61,0,12,55,58,1,2,0,12
1400000US06075011300,06075011300,"Census Tract 113, San Francisco County, California",3058,259,2978,263,611,213,97,104,21,26,2244,279,5,9,0,12,80,59,9,14,71,57,80,59,0,12,12,19,59,52,0,12,9,14,0,12,0,12
1400000US06075011700,06075011700,"Census Tract 117, San Francisco County, California",1547,381,1449,354,539,120,114,100,0,12,690,326,0,12,106,86,98,72,0,12,98,72,98,72,0,12,25,28,35,39,38,61,0,12,0,12,0,12
1400000US06075011800,06075011800,"Census Tract 118, San Francisco County, California",1740,229,1731,230,130,88,2,3,14,20,1528,207,0,12,57,90,9,10,0,12,9,10,9,10,0,12,0,12,0,12,0,12,9,10,0,12,0,12
1400000US06075011901,06075011901,"Census Tract 119.01, San Francisco County, California",2543,241,2484,230,1407,212,164,126,24,37,763,200,0,12,126,82,59,45,0,12,59,45,59,45,30,40,0,12,29,23,0,12,0,12,0,12,0,12
1400000US06075011902,06075011902,"Census Tract 119.02, San Francisco County, California",2625,233,2452,257,1462,218,55,45,0,12,807,162,0,12,128,113,173,89,18,22,155,82,159,88,0,12,0,12,123,74,0,12,36,34,14,22,0,12
