GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US06075010100,06075010100,"Census Tract 101, San Francisco County, California",55313,11819
1400000US06075010200,06075010200,"Census Tract 102, San Francisco County, California",89425,10968
1400000US06075010300,06075010300,"Census Tract 103, San Francisco County, California",67387,23744
1400000US06075010400,06075010400,"Census Tract 104, San Francisco County, California",67521,13372
1400000US06075010500,06075010500,"Census Tract 105, San Francisco County, California",97534,15282
1400000US06075010600,06075010600,"Census Tract 106, San Francisco County, California",30784,6216
1400000US06075010700,06075010700,"Census Tract 107, San Francisco County, California",24721,3216
1400000US06075010800,06075010800,"Census Tract 108, San Francisco County, California",58961,9374
1400000US06075010900,06075010900,"Census Tract 109, San Francisco County, California",88759,13186
1400000US06075011000,06075011000,"Census Tract 110, San Francisco County, California",62504,7724
1400000US06075011100,06075011100,"Census Tract 111, San Francisco County, California",51440,5740
1400000US06075011200,06075011200,"Census Tract 112, San Francisco County, California",108827,45084
1400000US06075011300,06075011300,"Census Tract 113, San Francisco County, California",33636,6112
1400000US06075011700,06075011700,"Census Tract 117, San Francisco County, California",57305,17679
1400000US06075011800,06075011800,"Census Tract 118, San Francisco County, California",14330,2304
1400000US06075011901,06075011901,"Census Tract 119.01, San Francisco County, California",56636,8009
1400000US06075011902,06075011902,"Census Tract 119.02, San Francisco County, California",50675,7811
1400000US06075012000,06075012000,"Census Tract 120, San Francisco County, California",37051,5555
1400000US06075012100,06075012100,"Census Tract 121, San Francisco County, California",37124,5566
1400000US06075012201,06075012201,"Census Tract 122.01, San Francisco County, California",28922,4923
1400000US06075012202,06075012202,"Census Tract 122.02, San Francisco County, California",26973,5963
1400000US06075012301,06075012301,"Census Tract 123.01, San Francisco County, California",15152,2467
1400000US06075012302,06075012302,"Census Tract 123.02, San Francisco County, California",33988,7493
1400000US06075012401,06075012401,"Census Tract 124.01, San Francisco County, California",16031,3525
1400000US06075012402,06075012402,"Census Tract 124.02, San Francisco County, California",37250,6791
1400000US06075012501,06075012501,"Census Tract 125.01, San Francisco County, California",12918,1904
1400000US06075012502,06075012502,"Census Tract 125.02, San Francisco County, California",13695,1600
1400000US06075012601,06075012601,"Census Tract 126.01, San Francisco County, California",88937,11081
1400000US06075012602,06075012602,"Census Tract 126.02, San Francisco County, California",106243,18084
1400000US06075012700,06075012700,"Census Tract 127, San Francisco County, California",86505,9493
1400000US06075012800,06075012800,"Census Tract 128, San Francisco County, California",88687,11757
1400000US06075012901,06075012901,"Census Tract 129.01, San Francisco County, California",90627,10646
1400000US06075012902,06075012902,"Census Tract 129.02, San Francisco County, California",76698,8206
1400000US06075013000,06075013000,"Census Tract 130, San Francisco County, California",88561,10678
1400000US06075013101,06075013101,"Census Tract 131.01, San Francisco County, California",103264,13411
1400000US06075013102,06075013102,"Census Tract 131.02, San Francisco County, California",102817,25449
1400000US06075013200,06075013200,"Census Tract 132, San Francisco County, California",133974,32065
1400000US06075013300,06075013300,"Census Tract 133, San Francisco County, California",106516,20714
1400000US06075013400,06075013400,"Census Tract 134, San Francisco County, California",91708,13018
1400000US06075013500,06075013500,"Census Tract 135, San Francisco County, California",93739,12763
1400000US06075015100,06075015100,"Census Tract 151, San Francisco County, California",73049,6726
1400000US06075015200,06075015200,"Census Tract 152, San Francisco County, California",60658,8350
1400000US06075015300,06075015300,"Census Tract 153, San Francisco County, California",72589,14775
1400000US06075015400,06075015400,"Census Tract 154, San Francisco County, California",70180,8924
1400000US06075015500,06075015500,"Census Tract 155, San Francisco County, California",55654,15767
1400000US06075015600,06075015600,"Census Tract 156, San Francisco County, California",53914,10144
1400000US06075015700,06075015700,"Census Tract 157, San Francisco County, California",39646,7453
1400000US06075015801,06075015801,"Census Tract 158.01, San Francisco County, California",44887,6478
1400000US06075015802,06075015802,"Census Tract 158.02, San Francisco County, California",67610,13089
1400000US06075015900,06075015900,"Census Tract 159, San Francisco County, California",36253,6207
1400000US06075016000,06075016000,"Census Tract 160, San Francisco County, California",53747,6881
1400000US06075016100,06075016100,"Census Tract 161, San Francisco County, California",22377,4044
1400000US06075016200,06075016200,"Census Tract 162, San Francisco County, California",56081,7973
1400000US06075016300,06075016300,"Census Tract 163, San Francisco County, California",64978,14859
1400000US06075016400,06075016400,"Census Tract 164, San Francisco County, California",50561,4668
1400000US06075016500,06075016500,"Census Tract 165, San Francisco County, California",48221,6789
1400000US06075016600,06075016600,"Census Tract 166, San Francisco County, California",52032,4435
1400000US06075016700,06075016700,"Census Tract 167, San Francisco County, California",76165,9961
1400000US06075016801,06075016801,"Census Tract 168.01, San Francisco County, California",53825,5030
