GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",45220,18013
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",58788,14145
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",99230,20831
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",75718,14552
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",106464,24427
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",52513,15517
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",74049,68888
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",81748,26074
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",35087,15530
1500000US060750104002,060750104002,"Block Group 2, Census Tract 104, San Francisco County, California",56164,10521
1500000US060750104003,060750104003,"Block Group 3, Census Tract 104, San Francisco County, California",98119,36480
1500000US060750104004,060750104004,"Block Group 4, Census Tract 104, San Francisco County, California",62489,21692
1500000US060750105001,060750105001,"Block Group 1, Census Tract 105, San Francisco County, California",93912,20889
1500000US060750105002,060750105002,"Block Group 2, Census Tract 105, San Francisco County, California",99233,18693
1500000US060750106001,060750106001,"Block Group 1, Census Tract 106, San Francisco County, California",48315,14392
1500000US060750106002,060750106002,"Block Group 2, Census Tract 106, San Francisco County, California",30953,9970
1500000US060750106003,060750106003,"Block Group 3, Census Tract 106, San Francisco County, California",16782,5728
1500000US060750107001,060750107001,"Block Group 1, Census Tract 107, San Francisco County, California",45480,12787
1500000US060750107002,060750107002,"Block Group 2, Census Tract 107, San Francisco County, California",25713,6194
1500000US060750107003,060750107003,"Block Group 3, Census Tract 107, San Francisco County, California",19504,5570
1500000US060750107004,060750107004,"Block Group 4, Census Tract 107, San Francisco County, California",11296,2790
1500000US060750108001,060750108001,"Block Group 1, Census Tract 108, San Francisco County, California",95267,29932
1500000US060750108002,060750108002,"Block Group 2, Census Tract 108, San Francisco County, California",48843,14592
1500000US060750108003,060750108003,"Block Group 3, Census Tract 108, San Francisco County, California",46910,8552
1500000US060750109001,060750109001,"Block Group 1, Census Tract 109, San Francisco County, California",95276,43991
1500000US060750109002,060750109002,"Block Group 2, Census Tract 109, San Francisco County, California",86477,20435
1500000US060750109003,060750109003,"Block Group 3, Census Tract 109, San Francisco County, California",87773,13000
1500000US060750110001,060750110001,"Block Group 1, Census Tract 110, San Francisco County, California",79697,33637
1500000US060750110002,060750110002,"Block Group 2, Census Tract 110, San Francisco County, California",59132,13831
1500000US060750110003,060750110003,"Block Group 3, Census Tract 110, San Francisco County, California",60264,13351
1500000US060750111001,060750111001,"Block Group 1, Census Tract 111, San Francisco County, California",57807,12450
1500000US060750111002,060750111002,"Block Group 2, Census Tract 111, San Francisco County, California",51871,6577
1500000US060750111003,060750111003,"Block Group 3, Census Tract 111, San Francisco County, California",36445,9478
1500000US060750112001,060750112001,"Block Group 1, Census Tract 112, San Francisco County, California",132814,97448
1500000US060750112002,060750112002,"Block Group 2, Census Tract 112, San Francisco County, California",79975,15382
1500000US060750112003,060750112003,"Block Group 3, Census Tract 112, San Francisco County, California",102473,65695
1500000US060750113001,060750113001,"Block Group 1, Census Tract 113, San Francisco County, California",31967,6676
1500000US060750113002,060750113002,"Block Group 2, Census Tract 113, San Francisco County, California",35196,10350
1500000US060750117001,060750117001,"Block Group 1, Census Tract 117, San Francisco County, California",81784,31669
1500000US060750117002,060750117002,"Block Group 2, Census Tract 117, San Francisco County, California",41711,19711
1500000US060750118001,060750118001,"Block Group 1, Census Tract 118, San Francisco County, California",14330,2304
1500000US060750119011,060750119011,"Block Group 1, Census Tract 119.01, San Francisco County, California",68675,15755
1500000US060750119012,060750119012,"Block Group 2, Census Tract 119.01, San Francisco County, California",48547,10294
1500000US060750119021,060750119021,"Block Group 1, Census Tract 119.02, San Francisco County, California",47873,9129
1500000US060750119022,060750119022,"Block Group 2, Census Tract 119.02, San Francisco County, California",58364,15438
1500000US060750120001,060750120001,"Block Group 1, Census Tract 120, San Francisco County, California",39526,9669
1500000US060750120002,060750120002,"Block Group 2, Census Tract 120, San Francisco County, California",34805,6873
1500000US060750121001,060750121001,"Block Group 1, Census Tract 121, San Francisco County, California",40493,7230
1500000US060750121002,060750121002,"Block Group 2, Census Tract 121, San Francisco County, California",27592,7315
1500000US060750122011,060750122011,"Block Group 1, Census Tract 122.01, San Francisco County, California",30329,6835
1500000US060750122012,060750122012,"Block Group 2, Census Tract 122.01, San Francisco County, California",26673,5388
1500000US060750122021,060750122021,"Block Group 1, Census Tract 122.02, San Francisco County, California",26973,5963
1500000US060750123011,060750123011,"Block Group 1, Census Tract 123.01, San Francisco County, California",15241,3727
1500000US060750123012,060750123012,"Block Group 2, Census Tract 123.01, San Francisco County, California",15013,3539
1500000US060750123021,060750123021,"Block Group 1, Census Tract 123.02, San Francisco County, California",43189,10827
1500000US060750123022,060750123022,"Block Group 2, Census Tract 123.02, San Francisco County, California",21456,5060
1500000US060750124011,060750124011,"Block Group 1, Census Tract 124.01, San Francisco County, California",19767,7796
1500000US060750124012,060750124012,"Block Group 2, Census Tract 124.01, San Francisco County, California",13909,2256
1500000US060750124021,060750124021,"Block Group 1, Census Tract 124.02, San Francisco County, California",18156,4004
1500000US060750124022,060750124022,"Block Group 2, Census Tract 124.02, San Francisco County, California",57469,17160
1500000US060750124023,060750124023,"Block Group 3, Census Tract 124.02, San Francisco County, California",33847,11428
1500000US060750125011,060750125011,"Block Group 1, Census Tract 125.01, San Francisco County, California",13363,2374
1500000US060750125012,060750125012,"Block Group 2, Census Tract 125.01, San Francisco County, California",12078,3478
1500000US060750125021,060750125021,"Block Group 1, Census Tract 125.02, San Francisco County, California",14292,2771
1500000US060750125022,060750125022,"Block Group 2, Census Tract 125.02, San Francisco County, California",13213,2356
1500000US060750126011,060750126011,"Block Group 1, Census Tract 126.01, San Francisco County, California",88937,11081
1500000US060750126021,060750126021,"Block Group 1, Census Tract 126.02, San Francisco County, California",115738,24013
1500000US060750126022,060750126022,"Block Group 2, Census Tract 126.02, San Francisco County, California",88824,29515
1500000US060750127001,060750127001,"Block Group 1, Census Tract 127, San Francisco County, California",86949,14924
1500000US060750127002,060750127002,"Block Group 2, Census Tract 127, San Francisco County, California",75640,13709
1500000US060750127003,060750127003,"Block Group 3, Census Tract 127, San Francisco County, California",104255,27779
1500000US060750128001,060750128001,"Block Group 1, Census Tract 128, San Francisco County, California",93455,20556
1500000US060750128002,060750128002,"Block Group 2, Census Tract 128, San Francisco County, California",94717,35812
1500000US060750128003,060750128003,"Block Group 3, Census Tract 128, San Francisco County, California",83098,16978
1500000US060750128004,060750128004,"Block Group 4, Census Tract 128, San Francisco County, California",70910,13935
1500000US060750129011,060750129011,"Block Group 1, Census Tract 129.01, San Francisco County, California",80383,9420
1500000US060750129012,060750129012,"Block Group 2, Census Tract 129.01, San Francisco County, California",98272,17410
1500000US060750129021,060750129021,"Block Group 1, Census Tract 129.02, San Francisco County, California",69371,15985
1500000US060750129022,060750129022,"Block Group 2, Census Tract 129.02, San Francisco County, California",75168,13010
1500000US060750129023,060750129023,"Block Group 3, Census Tract 129.02, San Francisco County, California",87928,19722
1500000US060750130001,060750130001,"Block Group 1, Census Tract 130, San Francisco County, California",82182,18664
1500000US060750130002,060750130002,"Block Group 2, Census Tract 130, San Francisco County, California",68739,11741
1500000US060750130003,060750130003,"Block Group 3, Census Tract 130, San Francisco County, California",102259,31728
1500000US060750130004,060750130004,"Block Group 4, Census Tract 130, San Francisco County, California",98101,24433
1500000US060750131011,060750131011,"Block Group 1, Census Tract 131.01, San Francisco County, California",93706,21941
1500000US060750131012,060750131012,"Block Group 2, Census Tract 131.01, San Francisco County, California",111185,17635
1500000US060750131021,060750131021,"Block Group 1, Census Tract 131.02, San Francisco County, California",103147,46707
1500000US060750131022,060750131022,"Block Group 2, Census Tract 131.02, San Francisco County, California",102554,21091
1500000US060750132001,060750132001,"Block Group 1, Census Tract 132, San Francisco County, California",141747,30007
1500000US060750132002,060750132002,"Block Group 2, Census Tract 132, San Francisco County, California",122110,104027
1500000US060750132003,060750132003,"Block Group 3, Census Tract 132, San Francisco County, California",131088,55214
1500000US060750133001,060750133001,"Block Group 1, Census Tract 133, San Francisco County, California",149494,68904
1500000US060750133002,060750133002,"Block Group 2, Census Tract 133, San Francisco County, California",98505,24009
1500000US060750133003,060750133003,"Block Group 3, Census Tract 133, San Francisco County, California",48874,10683
1500000US060750133004,060750133004,"Block Group 4, Census Tract 133, San Francisco County, California",142737,52317
1500000US060750133005,060750133005,"Block Group 5, Census Tract 133, San Francisco County, California",119455,40108
1500000US060750134001,060750134001,"Block Group 1, Census Tract 134, San Francisco County, California",92775,22904
1500000US060750134002,060750134002,"Block Group 2, Census Tract 134, San Francisco County, California",87919,29840
1500000US060750134003,060750134003,"Block Group 3, Census Tract 134, San Francisco County, California",96005,22500
1500000US060750135001,060750135001,"Block Group 1, Census Tract 135, San Francisco County, California",110312,19861
1500000US060750135002,060750135002,"Block Group 2, Census Tract 135, San Francisco County, California",77344,14112
1500000US060750151001,060750151001,"Block Group 1, Census Tract 151, San Francisco County, California",66448,8070
1500000US060750151002,060750151002,"Block Group 2, Census Tract 151, San Francisco County, California",84740,12704
1500000US060750152001,060750152001,"Block Group 1, Census Tract 152, San Francisco County, California",54945,8371
1500000US060750152002,060750152002,"Block Group 2, Census Tract 152, San Francisco County, California",60887,16363
1500000US060750152003,060750152003,"Block Group 3, Census Tract 152, San Francisco County, California",66861,15513
1500000US060750153001,060750153001,"Block Group 1, Census Tract 153, San Francisco County, California",79232,21154
1500000US060750153002,060750153002,"Block Group 2, Census Tract 153, San Francisco County, California",66978,18986
1500000US060750154001,060750154001,"Block Group 1, Census Tract 154, San Francisco County, California",128230,34917
1500000US060750154002,060750154002,"Block Group 2, Census Tract 154, San Francisco County, California",47175,9876
1500000US060750154003,060750154003,"Block Group 3, Census Tract 154, San Francisco County, California",64525,14558
1500000US060750154004,060750154004,"Block Group 4, Census Tract 154, San Francisco County, California",97804,24390
1500000US060750154005,060750154005,"Block Group 5, Census Tract 154, San Francisco County, California",50600,15813
1500000US060750155001,060750155001,"Block Group 1, Census Tract 155, San Francisco County, California",56818,13065
1500000US060750155002,060750155002,"Block Group 2, Census Tract 155, San Francisco County, California",66996,36768
1500000US060750155003,060750155003,"Block Group 3, Census Tract 155, San Francisco County, California",27646,16304
1500000US060750156001,060750156001,"Block Group 1, Census Tract 156, San Francisco County, California",70563,33068
1500000US060750156002,060750156002,"Block Group 2, Census Tract 156, San Francisco County, California",49652,14477
1500000US060750156003,060750156003,"Block Group 3, Census Tract 156, San Francisco County, California",49663,15602
1500000US060750157001,060750157001,"Block Group 1, Census Tract 157, San Francisco County, California",70032,37156
1500000US060750157002,060750157002,"Block Group 2, Census Tract 157, San Francisco County, California",49676,7983
