"","X.2","X.1","X","CaseID","Opened","Closed","Updated","Status","Status.Notes","Responsible.Agency","Category","Request.Type","Request.Details","Address","Supervisor.District","Neighborhood","Point","Source","Media.URL","Lat","Long","Census.Block","Zip","Map.Url","Resolve.Time"
"1",1,1,873010,1757188,2012-12-04 15:21:00,2012-12-06 04:39:00,"12/06/2012 04:39:00 AM","Closed",NA,"DPW BSM Queue","Street Defects","Utility_Excavation","Utility_Excavation","2820 GREENWICH ST, SAN FRANCISCO, CA, 94123",2,"Marina","(37.797838468, -122.446243791)","Voice In",NA,37.797838468,-122.446243791,60750128003,"94123","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.79839205,-122.44639307126,0,0,|&center=37.79839205,-122.44639307126&zoom=15&rand=2103624453",37.3
"2",2,2,861761,1834805,2012-12-30 08:39:28,2013-01-15 07:15:14,"01/15/2013 07:15:14 AM","Closed","Case Resolved -","zzRPD Urban Forestry Queue - DO NOT USE","Rec and Park Requests","Park - UrbanForestry","Broken_Limb","Park Presidio Blvd, SAN FRANCISCO, CA, 94118",1,"Inner Richmond","(37.780122585, -122.4722852)","Voice In",NA,37.780122585,-122.4722852,60750476001,"94118","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7803132,-122.4724209,0,0,|&center=37.7803132,-122.4724209&zoom=15&rand=-1586645822",382.6
"3",3,3,675863,3016735,2013-11-01 16:41:00,2015-04-16 04:05:00,"04/16/2015 04:05:00 AM","Closed","Case Transferred - Per process - cases are closed 5 days after assignment.","311 Service Request Queue - Hold","311 External Request","Graffiti","Graffiti - USPS","Intersection of PACIFIC AVE and WEBSTER ST",2,"Pacific Heights","(37.7935575960028, -122.433088431645)","Voice In",NA,37.7935575960028,-122.433088431645,60750132001,"94123","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7938179,-122.4330269,0,0,|&center=37.7938179,-122.4330269&zoom=15&rand=-887297136",12731.4
"4",4,4,741257,2643949,2013-07-26 09:57:04,2013-08-02 12:01:03,"08/02/2013 12:01:03 PM","Closed","DPT Abandoned Vehicles- Gone on arrival - 8-2-13 @ 1131  HRS #229","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car2door","White - Honda - NA - 6LWD681","1735 17TH AVE, SAN FRANCISCO, CA, 94122",7,NA,"(37.755495625, -122.474745239)","Voice In",NA,37.755495625,-122.474745239,60750303021,"94116","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.754334,-122.4743349,0,0,|&center=37.754334,-122.4743349&zoom=15&rand=1111233142",170.07
"5",5,5,552108,3600300,2014-04-30 14:52:36,2014-04-30 15:49:58,"04/30/2014 03:49:58 PM","Closed","Case Completed - resolved: WASTE NOT FOUND","Recology_Abandoned","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","549 LOMBARD ST, SAN FRANCISCO, CA, 94133",3,"North Beach","(37.803081142313, -122.410557299769)","Voice In",NA,37.803081142313,-122.410557299769,60750104002,"94133","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.8033346,-122.409911,0,0,|&center=37.8033346,-122.409911&zoom=15&rand=2025558770",0.96
"6",6,6,942053,1167336,2012-07-15 08:14:00,2012-07-17 22:20:00,"07/17/2012 10:20:00 PM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Sidewalk_Cleaning","Garbage","3543 18TH ST, SAN FRANCISCO, CA, 94110",8,"Mission","(37.761585866508, -122.42256346372)","Voice In",NA,37.761585866508,-122.42256346372,60750207001,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7614267,-122.422610090593,0,0,|&center=37.7614267,-122.422610090593&zoom=15&rand=-1648904187",62.1
"7",7,7,7721,5489340,2016-01-21 14:27:45,2016-01-22 01:25:00,"01/22/2016 01:25:00 AM","Closed","Case Completed - resolved:","DPW BSSR Queue","Street Defects","Pavement_Defect","Pavement_Defect","Intersection of POWELL ST and PACIFIC AVE",3,"Nob Hill","(37.7964927203057, -122.410076117757)","Voice In",NA,37.7964927203057,-122.410076117757,60750113001,"94118","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7965633,-122.4102322,0,0,|&center=37.7965633,-122.4102322&zoom=15&rand=93567924",10.95
"8",8,8,1529050,258491,2008-08-02 11:23:00,2008-08-05 05:19:00,"08/05/2008 05:19:00 AM","Closed",NA,"DPW BSM Queue","Blocked Street or SideWalk","Blocked_Sidewalk","Construction_materials blocking sidewalk","Intersection of BROADWAY and COLUMBUS AVE",3,"North Beach","(37.7978644632031, -122.406668016869)","Voice In",NA,37.7978644632031,-122.406668016869,60750107003,"94133","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.79765245,-122.406616630882,0,0,|&center=37.79765245,-122.406616630882&zoom=15&rand=241876728",65.93
"9",9,9,1235591,728847,2010-09-08 18:57:26,2010-09-16 13:18:12,"09/16/2010 01:18:12 PM","Closed",NA,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree","Fallen_tree","Intersection of MARNE AVE and MIRALOMA DR",7,"West of Twin Peaks","(37.7401379913828, -122.459122980296)","Voice In",NA,37.7401379913828,-122.459122980296,60750306002,"94127","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7400832,-122.4590259,0,0,|&center=37.7400832,-122.4590259&zoom=15&rand=-1064615134",186.35
"10",10,10,661657,3089516,2013-11-21 11:53:39,NA,"11/21/2013 11:57:58 AM","Open","Open","Housing Authority SR Queue","SFHA Requests","SFHA Priority - Routine","Glaziers","85 NORTHRIDGE RD, SAN FRANCISCO, CA, 94124",10,"Hunters Point","(37.730914039203, -122.376568969626)","Voice In",NA,37.730914039203,-122.376568969626,60750231032,"94124","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.730985,-122.3762489,0,0,|&center=37.730985,-122.3762489&zoom=15&rand=537006026",NA
"11",11,11,585570,3449990,2014-03-13 08:46:36,2014-03-13 16:19:01,"03/13/2014 04:19:01 PM","Closed","Case Completed - resolved:","DPW Ops Queue","Illegal Postings","Illegal Posting - No_Posting_Date","No_Posting_Date","Intersection of PORTOLA DR and DIAMOND HEIGHTS BLVD",8,"Upper Market","(37.746945453401, -122.444847383283)","Web Self Service",NA,37.746945453401,-122.444847383283,60750204021,"94131","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7469337,-122.444839,0,0,|&center=37.7469337,-122.444839&zoom=15&rand=-511691506",7.54
