"","C.Tract","Population","Income","Med.Age","Med.Age.M","Med.Age.F"
"1",6075010100,3827,55313,37.3,33.4,43.2
"2",6075010200,4220,89425,42.2,43.7,40.2
"3",6075010300,4346,67387,37.4,39.6,35.3
"4",6075010400,5265,67521,40.1,40,41
"5",6075010500,2606,97534,45,40.9,48.6
"6",6075010600,3664,30784,41,38.3,44.1
"7",6075010700,5311,24721,50,48.5,53.7
"8",6075010800,4779,58961,44.1,44.4,43.4
"9",6075010900,4740,88759,34.3,34.8,33
"10",6075011000,5303,62504,32.6,32.8,32
"11",6075011100,5078,51440,35.3,37.3,34.2
"12",6075011200,3078,108827,39.2,36.6,46.8
"13",6075011300,3058,33636,51.3,48.4,54.8
"14",6075011700,1547,57305,46.6,47.7,45.7
"15",6075011800,1740,14330,42.8,40.4,46.4
"16",6075011901,2543,56636,37.9,44,31.5
"17",6075011902,2625,50675,34.6,34,34.8
"18",6075012000,3563,37051,38.3,43.6,32.4
"19",6075012100,3876,37124,31.1,35.3,28.8
"20",6075012201,4576,28922,38.7,39.9,36
"21",6075012202,3079,26973,37.8,36.8,41.3
"22",6075012301,1790,15152,52.6,46.2,63.9
"23",6075012302,2518,33988,35.1,35.2,34.9
"24",6075012401,4613,16031,36.1,38.5,30.2
"25",6075012402,3393,37250,37.8,41,34.2
"26",6075012501,3547,12918,49.1,49.3,48.9
"27",6075012502,4120,13695,50.8,47.6,53.6
"28",6075012601,2499,88937,34.1,33.8,34.8
"29",6075012602,3101,106243,36,36.8,35.6
"30",6075012700,3758,86505,37.3,39.3,35.6
"31",6075012800,4908,88687,33.7,35.7,31.1
"32",6075012901,2588,90627,32.5,33.6,31.7
"33",6075012902,3444,76698,30.9,29.5,33.4
"34",6075013000,4548,88561,34.2,33.4,35.1
"35",6075013101,3791,103264,34.1,34.3,33.4
"36",6075013102,2692,102817,36.5,35.4,39.1
"37",6075013200,4695,133974,40.6,39.5,46.9
"38",6075013300,4482,106516,40.6,41.2,40.3
"39",6075013400,3968,91708,35.6,36,35.3
"40",6075013500,2592,93739,34.8,33.3,35.7
"41",6075015100,2106,73049,49.2,46.2,54.1
"42",6075015200,3865,60658,37.7,34.5,40.2
"43",6075015300,2066,72589,35.4,33.7,35.6
"44",6075015400,5927,70180,37.3,33.7,39.1
"45",6075015500,3918,55654,47.7,41.9,53.2
"46",6075015600,3015,53914,38.5,39,36.9
"47",6075015700,8373,39646,28.1,29.5,27
"48",6075015801,3738,44887,36.9,36.9,37.2
"49",6075015802,2837,67610,33.7,35.5,31.5
"50",6075015900,4081,36253,37.7,37.2,40.9
"51",6075016000,2552,53747,42.9,50,40.5
"52",6075016100,5085,22377,39.4,34.6,53.2
"53",6075016200,2604,56081,34.8,38.7,33.1
"54",6075016300,4748,64978,32.3,32.4,32
"55",6075016400,4135,50561,35.1,37.9,32.6
"56",6075016500,5787,48221,35.3,37.4,33.6
"57",6075016600,5537,52032,32.3,33,30.8
"58",6075016700,4960,76165,35.3,37.4,33.7
"59",6075016801,3329,53825,35.2,37.4,31.8
"60",6075016802,2957,72941,37.8,39.6,35.3
"61",6075016900,3021,66682,39.1,40.6,35.5
"62",6075017000,3857,89270,45.7,46.6,41.1
"63",6075017101,3557,90004,38.9,38.7,38.9
"64",6075017102,3862,73930,34.9,36,32
